epoch,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,grad_norm,learning_rate,loss,step,total_flos,train_loss,train_runtime,train_samples_per_second,train_steps_per_second
0.003194888178913738,,,,,0.6108814477920532,0.0,1.549619197845459,1,,,,,
0.01597444089456869,,,,,0.5917495489120483,2.0000000000000003e-06,1.5435664653778076,5,,,,,
0.03194888178913738,,,,,0.6287633180618286,4.5e-06,1.476426887512207,10,,,,,
0.04792332268370607,,,,,0.6300095319747925,4.997850278334526e-06,1.5814634323120118,15,,,,,
0.06389776357827476,,,,,0.6313937902450562,4.989123369922547e-06,1.4928092956542969,20,,,,,
0.07987220447284345,,,,,0.6448203325271606,4.9737083477433165e-06,1.5870232582092285,25,,,,,
0.09584664536741214,,,,,0.6531683206558228,4.951646630966053e-06,1.5425790786743163,30,,,,,
0.11182108626198083,,,,,0.6202580332756042,4.922997497999166e-06,1.4801612854003907,35,,,,,
0.12779552715654952,,,,,0.6624274253845215,4.887837927213005e-06,1.5606113433837892,40,,,,,
0.14376996805111822,,,,,0.652995765209198,4.8462623901039485e-06,1.537532901763916,45,,,,,
0.1597444089456869,,,,,0.6981495022773743,4.798382597455591e-06,1.524970531463623,50,,,,,
0.1757188498402556,,,,,0.6371543407440186,4.744327199179085e-06,1.489793586730957,55,,,,,
0.19169329073482427,,,,,0.6393576860427856,4.684241438639132e-06,1.5604536056518554,60,,,,,
0.20766773162939298,,,,,0.7112163305282593,4.618286762394444e-06,1.4380955696105957,65,,,,,
0.22364217252396165,,,,,0.6661345958709717,4.546640386401264e-06,1.4825325965881349,70,,,,,
0.23961661341853036,,,,,0.7343193292617798,4.469494819845534e-06,1.4349757194519044,75,,,,,
0.25559105431309903,,,,,0.6476452350616455,4.387057347883143e-06,1.4434995651245117,80,,,,,
0.2715654952076677,,,,,0.7138636708259583,4.2995494746781005e-06,1.3476255416870118,85,,,,,
0.28753993610223644,,,,,0.6149594783782959,4.2072063282351484e-06,1.4414620399475098,90,,,,,
0.3035143769968051,,,,,0.6251834034919739,4.110276028625995e-06,1.347917652130127,95,,,,,
0.3194888178913738,,,,,0.5462932586669922,4.009019021306703e-06,1.3304828643798827,100,,,,,
0.3194888178913738,1.3435758352279663,37.6082,132.95,2.101,,,,100,,,,,
0.3354632587859425,,,,,0.5503464937210083,3.9037073773175725e-06,1.3975658416748047,105,,,,,
0.3514376996805112,,,,,0.5349245071411133,3.7946240622458135e-06,1.3475875854492188,110,,,,,
0.36741214057507987,,,,,0.5009030103683472,3.6820621759152957e-06,1.2786712646484375,115,,,,,
0.38338658146964855,,,,,0.49250930547714233,3.566324164846239e-06,1.2582401275634765,120,,,,,
0.3993610223642173,,,,,0.45620113611221313,3.447721009600949e-06,1.2993603706359864,125,,,,,
0.41533546325878595,,,,,0.4819326400756836,3.3265713891991234e-06,1.2739837646484375,130,,,,,
0.43130990415335463,,,,,0.4693495035171509,3.203200824847907e-06,1.2921092987060547,135,,,,,
0.4472843450479233,,,,,0.422071635723114,3.077940805287425e-06,1.2520459175109864,140,,,,,
0.46325878594249204,,,,,0.4411322772502899,2.951127896101941e-06,1.2495211601257323,145,,,,,
0.4792332268370607,,,,,0.404612272977829,2.8231028353898727e-06,1.2078792572021484,150,,,,,
0.4952076677316294,,,,,0.4485328793525696,2.6942096182225163e-06,1.2514074325561524,155,,,,,
0.5111821086261981,,,,,0.40605032444000244,2.5647945723515028e-06,1.2287948608398438,160,,,,,
0.5271565495207667,,,,,0.4076361060142517,2.435205427648497e-06,1.2326427459716798,165,,,,,
0.5431309904153354,,,,,0.3774568736553192,2.3057903817774845e-06,1.181365394592285,170,,,,,
0.5591054313099042,,,,,0.386626273393631,2.1768971646101277e-06,1.207413673400879,175,,,,,
0.5750798722044729,,,,,0.41407886147499084,2.0488721038980596e-06,1.2154717445373535,180,,,,,
0.5910543130990416,,,,,0.3999282419681549,1.922059194712577e-06,1.2377784729003907,185,,,,,
0.6070287539936102,,,,,0.41069480776786804,1.7967991751520932e-06,1.236201000213623,190,,,,,
0.6230031948881789,,,,,0.40510281920433044,1.6734286108008768e-06,1.1974509239196778,195,,,,,
0.6389776357827476,,,,,0.3859962821006775,1.552278990399052e-06,1.1918615341186523,200,,,,,
