epoch,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,grad_norm,learning_rate,loss,step,total_flos,train_loss,train_runtime,train_samples_per_second,train_steps_per_second
0.03125,,,,,0.7960725426673889,0.0,1.5190095901489258,1,,,,,
0.0625,,,,,0.8951247334480286,1e-05,1.5540040731430054,2,,,,,
0.09375,,,,,0.8154398202896118,9.698463103929542e-06,1.605423092842102,3,,,,,
0.125,,,,,0.8489017486572266,8.83022221559489e-06,1.6433464288711548,4,,,,,
0.15625,,,,,0.8799203634262085,7.500000000000001e-06,1.5707381963729858,5,,,,,
0.1875,,,,,0.9318867921829224,5.8682408883346535e-06,1.740204095840454,6,,,,,
0.21875,,,,,0.8022478222846985,4.131759111665349e-06,1.462802767753601,7,,,,,
0.25,,,,,0.8417150974273682,2.5000000000000015e-06,1.4522194862365723,8,,,,,
0.28125,,,,,0.9026173949241638,1.1697777844051105e-06,1.5813361406326294,9,,,,,
0.3125,,,,,0.9277375936508179,3.015368960704584e-07,1.5312628746032715,10,,,,,
0.3125,1.4476478099822998,1.9216,133.22,8.326,,,,10,,,,,
0.3125,,,,,,,,10,1412403179814912.0,1.5660346746444702,18.6273,34.358,0.537
0.3125,1.4476478099822998,1.9215,133.228,8.327,,,,10,,,,,
