2026/09/18 02:50:15.874, 0, 0, 66.99
2026/09/18 02:50:16.884, 0, 0, 66.99
2026/09/18 02:50:17.884, 0, 0, 66.99
2026/09/18 02:50:18.885, 0, 0, 66.99
2026/09/18 02:50:19.885, 0, 0, 66.99
2026/09/18 02:50:20.886, 0, 0, 66.99
2026/09/18 02:50:21.887, 0, 0, 66.99
2026/09/18 02:50:22.888, 4, 0, 67.59
2026/09/18 02:50:23.888, 4, 0, 66.99
2026/09/18 02:50:24.889, 4, 0, 66.99
2026/09/18 02:50:25.890, 4, 0, 66.78
2026/09/18 02:50:26.890, 4, 0, 66.99
2026/09/18 02:50:27.891, 4, 0, 66.99
2026/09/18 02:50:28.892, 425, 0, 72.67
2026/09/18 02:50:29.892, 425, 0, 72.27
2026/09/18 02:50:30.893, 425, 0, 72.27
2026/09/18 02:50:31.893, 425, 0, 72.27
2026/09/18 02:50:32.894, 465, 0, 72.27
2026/09/18 02:50:33.895, 465, 0, 72.27
2026/09/18 02:50:34.895, 3545, 29, 73.47
2026/09/18 02:50:35.896, 3545, 0, 72.60
2026/09/18 02:50:36.896, 3525, 0, 72.60
2026/09/18 02:50:37.897, 3525, 0, 72.60
2026/09/18 02:50:38.898, 3553, 1, 72.60
2026/09/18 02:50:39.901, 3595, 0, 72.27
2026/09/18 02:50:40.901, 3595, 0, 72.60
2026/09/18 02:50:41.902, 3595, 0, 72.60
2026/09/18 02:50:42.903, 3595, 0, 72.67
2026/09/18 02:50:43.904, 3595, 0, 72.60
2026/09/18 02:50:44.904, 3595, 0, 72.60
2026/09/18 02:50:45.905, 3595, 0, 72.60
2026/09/18 02:50:46.906, 3595, 0, 72.67
2026/09/18 02:50:47.906, 3595, 0, 72.60
2026/09/18 02:50:48.907, 3595, 0, 72.67
2026/09/18 02:50:49.908, 3595, 0, 72.60
2026/09/18 02:50:50.909, 3595, 0, 72.67
2026/09/18 02:50:51.909, 3595, 0, 72.67
2026/09/18 02:50:52.910, 3595, 0, 72.67
2026/09/18 02:50:53.911, 3595, 0, 72.67
2026/09/18 02:50:54.911, 3595, 0, 72.67
2026/09/18 02:50:55.912, 3595, 0, 72.67
2026/09/18 02:50:56.913, 3595, 0, 72.67
2026/09/18 02:50:57.913, 3595, 0, 72.67
2026/09/18 02:50:58.914, 3595, 0, 72.67
2026/09/18 02:50:59.915, 3595, 0, 72.67
2026/09/18 02:51:00.916, 3595, 0, 72.67
2026/09/18 02:51:01.916, 3595, 0, 72.67
2026/09/18 02:51:02.917, 3595, 0, 72.67
2026/09/18 02:51:03.918, 3595, 0, 72.67
2026/09/18 02:51:04.918, 3595, 0, 72.67
2026/09/18 02:51:05.919, 3595, 0, 72.67
2026/09/18 02:51:06.920, 3595, 0, 72.67
2026/09/18 02:51:07.920, 3595, 0, 72.67
2026/09/18 02:51:08.921, 3655, 0, 72.67
2026/09/18 02:51:09.922, 4937, 29, 147.53
2026/09/18 02:51:10.923, 4941, 23, 72.95
2026/09/18 02:51:11.923, 4941, 0, 72.67
2026/09/18 02:51:12.924, 6707, 75, 323.44
2026/09/18 02:51:13.925, 6809, 40, 394.08
2026/09/18 02:51:14.925, 6815, 100, 133.76
2026/09/18 02:51:15.926, 6817, 100, 380.73
2026/09/18 02:51:16.927, 6817, 100, 364.95
2026/09/18 02:51:17.927, 6817, 100, 385.41
2026/09/18 02:51:18.928, 6817, 100, 387.15
2026/09/18 02:51:19.929, 6817, 100, 329.54
2026/09/18 02:51:20.929, 6817, 74, 393.49
2026/09/18 02:51:21.930, 6817, 82, 127.61
2026/09/18 02:51:22.931, 6817, 100, 381.21
2026/09/18 02:51:23.931, 6817, 100, 392.02
2026/09/18 02:51:24.932, 8057, 91, 371.86
2026/09/18 02:51:25.932, 8057, 98, 358.43
2026/09/18 02:51:26.933, 8057, 0, 93.35
2026/09/18 02:51:27.934, 8057, 1, 78.43
2026/09/18 02:51:28.934, 8057, 98, 375.66
2026/09/18 02:51:29.935, 8057, 69, 95.69
2026/09/18 02:51:30.936, 8057, 0, 92.21
2026/09/18 02:51:31.936, 8057, 0, 74.94
2026/09/18 02:51:32.937, 8057, 0, 74.61
2026/09/18 02:51:33.938, 8057, 0, 74.69
2026/09/18 02:51:34.938, 0, 60, 93.07
